                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8403,                 7.9677,                 3.7401,                 1.4524,                0.00431,                0.13483,                0.06705,                0.03451,                 0.0018,                0.05618,                0.02336,                0.00246,                 1.2424,                 5.1839,                  3.707,                 1.1732,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.4236,                 5.3188,                 2.9985,                 1.1691,                0.01705,                  0.498,                0.33266,                0.25701,                0.01111,                0.32451,                0.03858,                0.00861,                 1.0815,                 5.1673,                 3.2279,                0.93549,             0.00028269,             0.00028269,             0.00028269
                      3,                 1.1493,                 3.9214,                 1.5462,                0.98065,                0.96393,                 0.2168,                0.31776,                 0.2643,                0.01398,                0.43893,                0.01441,                0.00322,                  1.089,                 5.1369,                  2.919,                0.96579,             0.00043127,             0.00043127,             0.00043127
                      4,                 1.0421,                 2.5786,                 1.3029,                0.95857,                      1,                0.12339,                 0.4344,                  0.344,                0.97723,                0.11778,                0.38553,                 0.1283,                   1.09,                 4.9237,                 2.6854,                0.99334,             0.00057912,             0.00057912,             0.00057912
                      5,                 1.1237,                 2.2063,                  1.334,                0.97538,                0.87849,                0.36517,                0.61789,                0.40486,                0.86685,                0.35393,                0.60505,                0.33153,                  1.179,                 3.9371,                 2.2979,                0.98416,             0.00072622,             0.00072622,             0.00072622
                      6,                 1.1238,                 1.9057,                 1.2825,                0.97167,                0.82675,                0.47191,                0.71121,                0.49118,                 0.9317,                0.39059,                0.69147,                0.37375,                 1.1251,                 3.2339,                 2.0273,                0.97288,             0.00087258,             0.00087258,             0.00087258
                      7,                 1.1098,                 1.8947,                 1.2471,                   0.97,                0.66713,                0.48183,                 0.6471,                0.43205,                0.66713,                0.48183,                0.64956,                0.39064,                 1.2396,                 2.5407,                 2.0001,                  1.011,              0.0010182,              0.0010182,              0.0010182
                      8,                 1.1177,                  1.734,                 1.2429,                0.97219,                0.66471,                0.57292,                0.74278,                0.49344,                0.65685,                0.56169,                0.73427,                0.48188,                 1.1935,                 2.1402,                 1.5954,                 1.0192,              0.0011631,              0.0011631,              0.0011631
                      9,                  1.131,                 1.6865,                  1.225,                0.97325,                0.72984,                0.61211,                0.76421,                0.51276,                0.71788,                0.60557,                0.75464,                0.50674,                 1.0728,                 1.8703,                 1.6228,                0.95338,              0.0013072,              0.0013072,              0.0013072
                     10,                 1.0561,                 1.5879,                 1.1204,                0.95405,                0.70795,                0.75542,                 0.7864,                0.52429,                0.69755,                0.74243,                0.77647,                0.48232,                 1.1033,                 1.7719,                 1.4242,                0.95867,              0.0014506,              0.0014506,              0.0014506
                     11,                 1.0418,                 1.5418,                 1.0565,                0.94634,                0.67696,                0.70702,                0.77807,                0.52305,                0.67213,                0.69811,                0.78052,                  0.508,                 1.0423,                 1.6387,                  1.419,                0.94791,              0.0015932,              0.0015932,              0.0015932
                     12,                 1.0897,                  1.541,                 1.1025,                0.96373,                0.70916,                0.80651,                0.82491,                0.53504,                0.69933,                0.78485,                0.79185,                0.48847,                 1.0623,                 1.6865,                 1.3266,                0.95507,              0.0016216,              0.0016216,              0.0016216
                     13,                 1.0601,                 1.6166,                 1.0754,                0.96968,                0.81519,                0.78069,                0.84391,                 0.5619,                  0.824,                0.77791,                0.85669,                0.54804,                 1.0657,                 1.5309,                 1.0833,                0.96259,              0.0016216,              0.0016216,              0.0016216
                     14,                 1.0447,                 1.5725,                 1.0851,                0.95659,                0.76104,                0.78646,                0.83927,                0.54927,                 0.7512,                0.76752,                 0.8221,                0.52097,                 1.0552,                 1.5629,                 1.1235,                0.97063,              0.0016175,              0.0016175,              0.0016175
                     15,                 1.0416,                 1.4971,                 1.0556,                0.96137,                0.74993,                0.84025,                0.82745,                0.57717,                0.74274,                0.81327,                0.81975,                0.52821,                 1.0753,                 1.6007,                 1.0276,                0.99109,              0.0016134,              0.0016134,              0.0016134
                     16,                 1.0377,                 1.5459,                0.95422,                0.94553,                0.62709,                0.71139,                0.64689,                0.44056,                0.62709,                0.71139,                0.64838,                0.43171,                 1.1097,                 1.5774,                  1.501,                0.99798,              0.0016092,              0.0016092,              0.0016092
                     17,                 1.0586,                 1.5256,                0.94288,                0.93437,                0.70294,                0.85015,                0.81077,                0.55374,                0.71519,                 0.8642,                0.83336,                0.53109,                 1.0848,                 1.5703,                 1.0218,                0.96001,              0.0016051,              0.0016051,              0.0016051
                     18,                 1.0094,                 1.4748,                0.91964,                0.93929,                0.78383,                0.80926,                0.85304,                 0.5913,                0.79397,                0.79932,                0.86126,                0.56183,                 1.0068,                 1.4586,                 1.0489,                 0.9754,               0.001601,               0.001601,               0.001601
                     19,                 1.0054,                 1.4762,                 1.0084,                0.94372,                 0.7324,                0.87831,                0.85163,                0.59662,                0.76494,                 0.8551,                0.86961,                0.56614,                 1.0343,                 1.4598,                0.96659,                0.97509,              0.0015969,              0.0015969,              0.0015969
                     20,                 0.9817,                 1.4085,                0.90545,                0.94737,                0.76575,                0.86995,                0.86415,                 0.6224,                0.76497,                0.87624,                0.87652,                0.56493,                0.97883,                 1.4548,                0.90849,                0.96377,              0.0015927,              0.0015927,              0.0015927
                     21,                 1.0081,                 1.4751,                0.90387,                0.93932,                0.77281,                0.83035,                0.86381,                0.59869,                0.77823,                0.83463,                0.87587,                0.54749,                  1.056,                 1.5519,                0.93299,                0.97572,              0.0015886,              0.0015886,              0.0015886
                     22,                0.96515,                 1.4111,                0.86685,                0.92751,                  0.775,                0.83463,                0.86749,                 0.6328,                0.78067,                0.86433,                 0.8888,                0.58605,                0.94155,                 1.4283,                 0.8928,                0.95538,              0.0015845,              0.0015845,              0.0015845
                     23,                0.94357,                 1.3767,                0.84331,                0.92482,                 0.8539,                0.82943,                0.88729,                 0.6231,                0.86505,                0.83982,                0.90001,                0.56977,                0.96981,                 1.4576,                0.90147,                0.94837,              0.0015804,              0.0015804,              0.0015804
                     24,                0.94921,                 1.3483,                0.83173,                0.91698,                0.78154,                0.82664,                0.87557,                0.58853,                0.80232,                0.80626,                0.87365,                0.52698,                 1.0566,                 1.5038,                0.99059,                0.98068,              0.0015762,              0.0015762,              0.0015762
                     25,                0.98473,                 1.3987,                0.91944,                0.92723,                0.87931,                0.80099,                0.87106,                0.61337,                0.88379,                0.80626,                 0.8997,                0.56613,                 1.0123,                  1.353,                0.94771,                0.95733,              0.0015721,              0.0015721,              0.0015721
