                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8278,                 8.0177,                  3.982,                 1.4411,                0.00651,                0.08614,                0.05335,                0.02726,                      0,                      0,                      0,                      0,                 1.3269,                  5.217,                 3.8761,                 1.1772,             0.00011432,             0.00011432,             0.00011432
                      2,                 1.4676,                  5.499,                 3.3945,                 1.2115,                0.01892,                0.21464,                0.18587,                0.14545,                      0,                      0,                      0,                      0,                 1.0985,                 5.2276,                 3.5097,                0.95836,             0.00024233,             0.00024233,             0.00024233
                      3,                  1.178,                 3.9296,                 1.9774,                 0.9735,                      1,                0.06461,                0.30641,                0.23857,                      0,                      0,                      0,                      0,                 1.2409,                 5.2298,                 3.1013,                0.97398,              0.0003697,              0.0003697,              0.0003697
                      4,                 1.0761,                 2.7494,                 1.4614,                0.95351,                      1,                0.09014,                0.22766,                0.17907,                0.00032,                0.00865,                0.00023,                  4e-05,                 1.1274,                 5.1327,                 2.8869,                0.95597,             0.00049644,             0.00049644,             0.00049644
                      5,                 1.1478,                  2.345,                 1.5048,                0.94641,                0.94286,                0.26592,                 0.4584,                0.31219,                0.93897,                0.26217,                0.37293,                0.13223,                 1.1964,                 4.5319,                 2.4037,                0.94563,             0.00062254,             0.00062254,             0.00062254
                      6,                 1.0743,                 1.8714,                 1.3477,                0.93729,                0.29294,                0.29588,                0.50656,                0.30992,                0.27886,                 0.2684,                0.33395,                0.10678,                  1.243,                  4.049,                 2.2485,                0.95184,               0.000748,               0.000748,               0.000748
                      7,                 1.1345,                 2.0365,                 1.3925,                0.95099,                0.63767,                0.30029,                0.56659,                0.36052,                0.63767,                0.30029,                0.58611,                0.33185,                 1.1502,                 2.6706,                 2.2519,                0.93802,             0.00087282,             0.00087282,             0.00087282
                      8,                 1.0751,                 1.7598,                 1.3289,                0.94325,                0.58635,                0.38828,                0.57575,                0.37749,                0.58635,                0.38828,                0.58324,                0.34097,                 1.1978,                 2.2052,                 1.7651,                0.95426,             0.00099701,             0.00099701,             0.00099701
                      9,                 1.0931,                 1.6981,                  1.354,                0.94363,                0.48883,                0.67316,                0.55482,                0.38357,                0.49328,                0.67806,                0.56158,                0.34844,                 1.0637,                 1.8795,                 1.5406,                0.93119,              0.0011206,              0.0011206,              0.0011206
                     10,                 1.0427,                 1.6009,                 1.2196,                0.93486,                0.52986,                0.68767,                0.56077,                0.37583,                0.51186,                0.68998,                0.55591,                0.34385,                 1.1229,                 1.7626,                 1.4994,                0.93668,              0.0012435,              0.0012435,              0.0012435
                     11,                 1.0193,                  1.566,                 1.1951,                0.92937,                 0.5044,                0.70585,                 0.5891,                0.39926,                0.51659,                0.74361,                0.60358,                0.38431,                0.99934,                 1.5886,                  1.317,                 0.9253,              0.0013658,              0.0013658,              0.0013658
