                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0748,                  7.082,                 3.8876,                 1.5287,                0.01133,                0.35083,                0.06447,                0.03426,                0.00868,                0.27174,                0.02699,                0.00366,                 1.1031,                 5.2425,                 3.6463,                 1.0536,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.4559,                 5.2644,                 3.0931,                  1.115,                0.02622,                0.76432,                0.36407,                0.28138,                0.02341,                0.68788,                0.30069,                0.07712,                 1.1039,                 5.2264,                 3.2323,                0.91912,             0.00028269,             0.00028269,             0.00028269
                      3,                 1.3016,                 3.6088,                 1.7329,                0.96725,                0.81414,                0.22561,                0.39512,                0.29512,                0.81254,                0.20732,                 0.3449,                0.13074,                 1.1707,                 5.1613,                 2.6144,                0.92312,             0.00043127,             0.00043127,             0.00043127
                      4,                 1.2034,                 2.5621,                  1.366,                0.95798,                0.45469,                0.46767,                0.32585,                0.16555,                 0.4209,                0.49166,                0.30248,                0.11588,                 1.1394,                 4.9153,                 4.2406,                0.92045,             0.00057912,             0.00057912,             0.00057912
                      5,                 1.2168,                 2.2698,                 1.3884,                 0.9471,                 0.6806,                0.55091,                0.66012,                0.40485,                 0.6806,                0.55091,                0.66313,                0.37931,                 1.2341,                 4.3169,                 2.0724,                0.94648,             0.00072622,             0.00072622,             0.00072622
                      6,                 1.2024,                 2.0008,                 1.3009,                0.94888,                0.64918,                0.57799,                0.73743,                0.48776,                0.63552,                0.56827,                0.72386,                0.45638,                 1.1614,                 3.4192,                 1.8211,                0.92412,             0.00087258,             0.00087258,             0.00087258
                      7,                 1.2096,                 2.1373,                 1.2701,                0.96545,                0.49786,                0.61913,                0.63438,                0.39222,                0.49786,                0.61913,                  0.641,                0.38121,                 1.2741,                 2.8645,                 1.9076,                0.96911,              0.0010182,              0.0010182,              0.0010182
                      8,                 1.1964,                  1.974,                 1.2352,                0.96992,                0.61577,                0.67947,                0.67159,                0.40701,                0.62845,                 0.6905,                0.69136,                0.40086,                 1.4231,                 2.6536,                 1.6541,                 1.0071,              0.0011631,              0.0011631,              0.0011631
                      9,                 1.2214,                 1.8895,                 1.2945,                0.97851,                0.67367,                0.78226,                0.75942,                0.50681,                0.68746,                0.78588,                 0.7733,                0.49641,                 1.1428,                 1.9758,                 1.4135,                0.93327,              0.0013072,              0.0013072,              0.0013072
                     10,                 1.1274,                 1.7583,                 1.1648,                0.94482,                0.68052,                0.71633,                0.70287,                0.46922,                0.69081,                0.72358,                0.71166,                0.42701,                 1.2489,                 1.9976,                 1.4396,                0.95484,              0.0014506,              0.0014506,              0.0014506
                     11,                 1.1309,                 1.7832,                 1.1441,                0.94516,                0.74072,                0.75389,                0.78271,                0.53223,                0.74193,                0.75866,                0.79754,                0.52502,                 1.1542,                 1.7224,                 1.3132,                0.94216,              0.0015932,              0.0015932,              0.0015932
                     12,                 1.1811,                  1.758,                 1.1146,                0.96049,                0.72714,                0.74609,                0.78125,                0.52378,                0.71609,                0.75456,                0.79739,                0.48913,                 1.2408,                 1.7032,                 1.2394,                0.96688,              0.0016216,              0.0016216,              0.0016216
                     13,                 1.1517,                 1.6934,                 1.1349,                0.97471,                0.81338,                0.79661,                0.86343,                 0.5764,                0.81646,                0.80023,                0.86277,                0.56908,                 1.1803,                 1.6421,                 1.1036,                0.98196,              0.0016216,              0.0016216,              0.0016216
                     14,                  1.149,                 1.6834,                 1.1174,                0.97536,                0.75041,                 0.7853,                0.83034,                0.55246,                0.74659,                0.78168,                 0.8202,                0.49086,                  1.176,                 1.7479,                 1.1446,                0.96885,              0.0016175,              0.0016175,              0.0016175
